keyword,freq
Alfalfa,8189
increase,4509
Plant,3664
gene,3519
LEVEL,2309
Concentration,2132
plant,2018
Root,1964
Medicago truncatula,1939
Content,1802
soil,1769
medicago sativa,1609
Response,1581
Seed,1504
Yield,1481
year,1390
Nodule,1277
control,1224
improve,1220
protein,1199
M. truncatula,1130
Soil,1102
lucerne,1085
strain,1060
cell,1044
Crop,1043
production,1040
Diet,1029
potential,1011
reveal,997
system,997
population,978
Legume,931
number,929
field,901
shoot,871
Protein,842
Feed,831
line,807
PRODUCE,799
diet,759
Medicago sativa,755
region,739
dry,724
forage,704
feed,701
influence,701
root,688
RANGE,685
Lucerne,682
ratio,671
time,660
TIME,654
Control,647
Mutant,637
site,636
mixture,624
Genome,622
STAGE,621
impact,620
marker,620
legume,609
Genotype,597
Water,577
tissue,576
expression,569
water,569
Cultivar,567
Characteristic,556
form,556
mechanism,555
LONG,548
flower,545
Inoculation,540
Forage,540
WEIGHT,538
TERM,530
Model,529
Interaction,520
Growth,516
BACTERIAL,506
DESIGN,505
Silage,504
crop,503
function,485
cut,482
ANALYZE,482
family,481
area,478
proportion,477
growth,477
sequence,472
source,460
EXPRESSION,459
SEASON,458
cow,458
Development,454
combination,449
Stress,449
Salt,438
cultivar,435
model,432
enhance,428
target,425
variation,418
M. sativa,417
efficiency,416
encode,414
aphid,413
DIFFER,412
NDF,411
Harvest,407
GROWTH,407
nutrient,402
Resistance,401
accumulation,400
ability,398
molecular,398
loss,398
grass,396
Population,394
lamb,393
Composition,391
Nitrogen,385
pattern,382
annual,381
pathway,380
salinity,376
alfalfa plant,372
SINGLE,371
complex,370
accession,369
Stem,369
silage,363
variety,359
medium,356
profile,356
stress,352
temperature,352
nodulation,352
PCR,351
KEY,349
density,348
nitrogen,346
Function,339
strategy,338
development,337
Sinorhizobium meliloti,332
INFORMATION,331
Enzyme,331
Alfalfa hay,328
Reduction,327
LENGTH,325
Pasture,320
Distribution,317
host,312
Dry matter,312
sprout,310
DIETARY,307
PERCENTAGE,307
genotype,304
FRESH,304
performance,303
CAPACITY,301
Host,299
Drought,298
Pathogen,296
set,295
lead,293
leaf,293
amino acid,290
Lead,290
Sequence,289
DNA,286
Medicago,286
index,285
harvest,285
environment,281
bee,281
Tolerance,279
RNA,279
NITROGEN,277
Temperature,277
Fraction,277
medicago,277
Enhance,276
alfalfa cultivar,274
peptide,273
MAXIMUM,271
Accumulation,271
phase,269
digestibility,269
Performance,267
dry matter,266
resource,264
tolerance,263
wild,262
Salt stress,261
membrane,254
characterization,254
COMMON,252
Biomass,251
SIZE,249
interaction,249
S. meliloti,247
DEPTH,246
perennial,246
Expression,245
Infection,244
WINTER,243
SURFACE,242
NEED,241
LEAF,241
Intake,240
AMF,239
summer,239
Correlation,238
MYCORRHIZAL,238
Germination,236
RELEASE,236
productivity,235
stand,235
Synthesis,235
EXPOSURE,233
CH4,232
FUNGAL,231
pasture,230
germination,228
virus,227
Environment,225
Lamb,225
assay,224
infection,224
native,224
concentrate,224
layer,223
COLONIZATION,223
weed,223
CYCLE,222
bale,221
metal,221
SUBSTRATE,221
TOOL,221
Hay,221
transgenic plant,219
member,219
INDUCTION,219
DAMAGE,218
corn,218
FEMALE,216
ESTABLISHMENT,215
Fermentation,214
mineral,214
alfalfa hay,213
frequency,213
DMI,213
SCALE,212
IRRIGATION,210
BIOMASS,210
host plant,210
ABA,209
Transgenic,209
flavonoid,208
culture,208
enzyme,207
Disease,206
food,206
DISPLAY,206
WILD,205
ALFALFA SILAGE,204
model legume Medicago truncatula,204
Promoter,204
Pathway,203
qtl,203
cost,203
In vitro,203
domain,202
REDUCTION,201
Transporter,201
additive,201
Degradation,200
MASS,200
Plant growth,199
Breeding,198
emission,198
AGE,197
Quality,196
zone,195
Antioxidant,195
Supplementation,194
evaluation,193
link,191
Species,189
snp,188
A17,188
wheat,187
diversity,187
DISTINCT,187
Selection,186
cross,186
Grass,186
SYMBIOSIS,185
Bacteria,185
transport,183
sugar,182
Leaf,179
MEDICAGO,179
INCLUSION,179
quality,179
Variety,179
Cell wall,177
MILK,177
Measurement,177
DROUGHT,177
location,176
SUBSEQUENT,176
residue,175
monoculture,175
gene expression,175
land,175
IDENTIFICATION,174
QUALITY,173
photosynthetic,173
salt,173
ADF,173
resistance,173
CO2,172
energy,172
program,172
Digestibility,172
Abiotic stress,170
PRIMER,170
alfalfa field,170
plant growth,169
abundance,169
NaCl,168
intake,167
LOCI,167
BACTERIA,166
salt stress,165
Pod,165
STEP,165
Digestion,164
egg,164
transgenic,163
AMV,162
gain,161
phenotype,160
AVAILABILITY,159
selection,158
receptor,158
Arid,157
defense,156
biomass,156
bacteria,156
stem,156
forage crop,155
Nodulation,155
Transcription factor,155
field experiment,155
FUTURE,155
oil,154
Saponin,154
Gene expression,153
Arabidopsis,153
KNOWLEDGE,151
AUTUMN,151
in vitro,150
Soybean,150
Detection,149
EXTENT,149
degradation,149
ROW,149
Salt tolerance,148
H2O2,148
risk,148
COVER,148
GENERATION,147
Uptake,147
ORIGIN,146
association,146
overexpression,146
fungus,145
maize,145
fermentation,145
nematode,144
Persistence,144
insight,143
microorganism,143
ABSENCE,142
crude protein,142
ration,142
REMOVAL,141
Organic,141
STORAGE,141
Adaptation,140
saponin,140
SPACE,140
ROS,139
deficiency,139
mutant,139
Spring,139
Root nodule,139
date,138
Nitrate,138
fat,137
drought stress,137
lipid,136
yeast,136
Abundance,136
Mediterranean,136
Storage,136
