,paper_id,country,org,org_type,team
0,0,Peoples R China,Nanjing Agr Univ,,"Tao, Xuxiong; Chen, Sifan; Zhao, Jie; Wang, Siran; Dong, Zhihao; Li, Junfeng; Shao, Tao"
1,0,Peoples R China,Jiangsu Guoxin Union Energy Co Ltd,,"Sun, Fuxin"
2,1,Serbia,Univ Belgrade,,"Pajcin, Duro; Vuckovic, Savo; Simic, Aleksandar; Popovic, Sandra; Jovanovic-Radovanov, Katarina; Vujosevic, Ana"
3,1,Serbia,Inst Field & Vegetable Crops,,"Popovic, Vera"
4,1,Serbia,Inst Sci Applicat Agr,,"Simic, Divna"
5,2,Iran,AREEO,,"Monirifar, Hassan"
6,2,Iran,AREEO,,"Mirmozaffari Roudsari, Arezoo; Ghassemi, Saeid"
7,2,Iran,AREEO,,"Tavasolee, Alireza"
8,3,Peoples R China,Shandong Univ Technol,,"Li, Zhe; Gao, Zhengquan; Meng, Chunxiao"
9,3,Peoples R China,Chinese Acad Sci,,"Li, Zhe; Li, Ruihua; Xu, Yan; Zhou, Gongke; Hu, Ruibo"
10,3,Peoples R China,Qingdao Agr Univ,,"Kong, Yingzhen"
11,4,Peoples R China,Chinese Acad Sci,,"Ju, Wenliang; Jin, Xiaolian; Duan, Chengjiao; Cui, Yongxing; Wang, Jie; Ma, Dengke; Zhao, Wei; Fang, Linchuan"
12,4,Netherlands,Univ Groningen,,"Liu, Lei"
13,4,Peoples R China,Chinese Acad Sci,,"Ju, Wenliang; Wang, Yunqiang; Fang, Linchuan"
14,4,Peoples R China,Univ Chinese Acad Sci,,"Ju, Wenliang; Duan, Chengjiao; Cui, Yongxing; Ma, Dengke"
15,4,Peoples R China,Chinese Acad Sci,,"Wang, Yunqiang"
16,5,Peoples R China,Chinese Acad Sci,,"Ren, Wenjie; Wang, Yuting; Huang, Yiwen; Teng, Ying"
17,5,Peoples R China,Guizhou Univ,,"Wang, Yuting; Liu, Fang"
18,5,Peoples R China,Changzhou Univ,,"Huang, Yiwen"
19,6,Peoples R China,Lanzhou Univ,,"Zhang, Jing; Pang, Xiao Pan; Wang, Qian; Yang, Ding; Qiao, Fu Yun; Zhi, Di Gang; Guo, Zheng Gang"
20,7,Peoples R China,Inner Mongolia Univ Technol,,"Luan, Xinyu; Song, Zhiqing; Xu, Wenqian; Li, Yibing; Ding, Changjiang; Chen, Hao"
21,8,Japan,Adv Engn Serv Co Ltd,,"Kamada, Motoshi"
22,8,Japan,Tottori Univ,,"Oka, Mariko"
23,8,Japan,Osaka Prefecture Univ,,"Miyamoto, Kensuke"
24,8,Japan,Osaka Prefecture Univ,,"Uheda, Eiji; Ueda, Junichi"
25,8,Japan,Japan Aerosp Explorat Agcy,,"Yamazaki, Chiaki"
26,8,Japan,Japan Space Forum,,"Shimazu, Toru"
27,8,Japan,Japan Manned Space Syst Corp,,"Sano, Hiromi"
28,8,Japan,Japan Aerosp Explorat Agcy,,"Kasahara, Haruo; Suzuki, Tomomi; Higashibata, Akira"
29,9,Oman,Sultan Qaboos Univ,,"Al-Farsi, Safaa Mohammed; Al-Sadi, Abdullah M.; Ullah, Aman; Farooq, Muhammad"
30,9,Oman,Minist Agr & Fisheries,,"Al-Farsi, Safaa Mohammed"
31,9,Oman,Res Council,,"Nadaf, Saleem K."
32,10,Pakistan,Univ Agr Faisalabad,,"Ahmad, Jamshaid; Iqbal, Asif; Mahmood, Athar; Iqbal, Muhmmad Aamir; Khan, Haroon Zaman; Abbas, Rana Nadeem; Akbar, Nadeem; Maqsood, Muhammad"
33,11,Peoples R China,Chinese Acad Sci,,"Zheng, Xiaoling; He, Liangliang; Liu, Ye; Mao, Yawen; Wang, Chaoqun; Zhao, Baolin; Li, Youhan; He, Hua; Guo, Shiqi; Chen, Jianghua"
34,11,Peoples R China,Univ Chinese Acad Sci,,"Zheng, Xiaoling; He, Liangliang; Mao, Yawen; Wang, Chaoqun; Guo, Shiqi"
35,11,Peoples R China,Univ Sci & Technol China,,"Liu, Ye"
36,11,Peoples R China,Zhejiang Univ,,"Zhang, Liangsheng"
37,11,Peoples R China,Chinese Acad Sci,,"Schneider, Harald"
