,paper_id,author
0,0,"Tao, Xuxiong"
1,0,"Chen, Sifan"
2,0,"Zhao, Jie"
3,0,"Wang, Siran"
4,0,"Dong, Zhihao"
5,0,"Li, Junfeng"
6,0,"Sun, Fuxin"
7,0,"Shao, Tao"
8,1,"Pajcin, Duro"
9,1,"Vuckovic, Savo"
10,1,"Popovic, Vera"
11,1,"Simic, Aleksandar"
12,1,"Popovic, Sandra"
13,1,"Jovanovic-Radovanov, Katarina"
14,1,"Simic, Divna"
15,1,"Vujosevic, Ana"
16,2,"Monirifar, Hassan"
17,2,"Mirmozaffari Roudsari, Arezoo"
18,2,"Ghassemi, Saeid"
19,2,"Tavasolee, Alireza"
20,3,"Li, Zhe"
21,3,"Gao, Zhengquan"
22,3,"Li, Ruihua"
23,3,"Xu, Yan"
24,3,"Kong, Yingzhen"
25,3,"Zhou, Gongke"
26,3,"Meng, Chunxiao"
27,3,"Hu, Ruibo"
28,4,"Ju, Wenliang"
29,4,"Liu, Lei"
30,4,"Jin, Xiaolian"
31,4,"Duan, Chengjiao"
32,4,"Cui, Yongxing"
33,4,"Wang, Jie"
34,4,"Ma, Dengke"
35,4,"Zhao, Wei"
36,4,"Wang, Yunqiang"
37,4,"Fang, Linchuan"
38,5,"Ren, Wenjie"
39,5,"Wang, Yuting"
40,5,"Huang, Yiwen"
41,5,"Liu, Fang"
42,5,"Teng, Ying"
43,6,"Zhang, Jing"
44,6,"Pang, Xiao Pan"
45,6,"Wang, Qian"
46,6,"Yang, Ding"
47,6,"Qiao, Fu Yun"
48,6,"Zhi, Di Gang"
49,6,"Guo, Zheng Gang"
50,7,"Luan, Xinyu"
51,7,"Song, Zhiqing"
52,7,"Xu, Wenqian"
53,7,"Li, Yibing"
54,7,"Ding, Changjiang"
55,7,"Chen, Hao"
56,8,"Kamada, Motoshi"
57,8,"Oka, Mariko"
58,8,"Miyamoto, Kensuke"
59,8,"Uheda, Eiji"
60,8,"Yamazaki, Chiaki"
61,8,"Shimazu, Toru"
62,8,"Sano, Hiromi"
63,8,"Kasahara, Haruo"
64,8,"Suzuki, Tomomi"
65,8,"Higashibata, Akira"
66,8,"Ueda, Junichi"
67,9,"Al-Farsi, Safaa Mohammed"
68,9,"Nadaf, Saleem K."
69,9,"Al-Sadi, Abdullah M."
70,9,"Ullah, Aman"
71,9,"Farooq, Muhammad"
72,10,"Ahmad, Jamshaid"
73,10,"Iqbal, Asif"
74,10,"Mahmood, Athar"
75,10,"Iqbal, Muhmmad Aamir"
76,10,"Khan, Haroon Zaman"
77,10,"Abbas, Rana Nadeem"
78,10,"Akbar, Nadeem"
79,10,"Maqsood, Muhammad"
80,11,"Zheng, Xiaoling"
81,11,"He, Liangliang"
82,11,"Liu, Ye"
83,11,"Mao, Yawen"
84,11,"Wang, Chaoqun"
85,11,"Zhao, Baolin"
86,11,"Li, Youhan"
87,11,"He, Hua"
88,11,"Guo, Shiqi"
89,11,"Zhang, Liangsheng"
90,11,"Schneider, Harald"
91,11,"Tadege, Million"
92,11,"Chang, Fang"
93,11,"Chen, Jianghua"
94,12,"Liu, Qinhua"
95,12,"Zong, Cheng"
96,12,"Dong, Zhihao"
97,12,"Wu, Jinxin"
98,12,"Zhu, Jiugang"
99,12,"Li, Junfeng"
100,12,"Zhang, Jian"
101,12,"Shao, Tao"
102,13,"Trucco, Veronica"
103,13,"Cabrera Mederos, Dariel"
104,13,"Lenardon, Sergio"
105,13,"Giolitti, Fabian"
106,14,"Fries-Craft, K."
107,14,"Anast, J. M."
108,14,"Schmitz-Esser, S."
109,14,"Bobeck, E. A."
110,15,"Aridhi, Fatma"
111,15,"Sghaier, Hajer"
112,15,"Gaitanaros, Allyzee"
113,15,"Khadri, Ayda"
114,15,"Aschi-Smiti, Samira"
115,15,"Brouquisse, Renaud"
116,16,"Walton, Jennifer H."
117,16,"Kontra-Kovats, Gyongyi"
118,16,"Green, Robert T."
119,16,"Domonkos, Agota"
120,16,"Horvath, Beatrix"
121,16,"Brear, Ella M."
122,16,"Franceschetti, Marina"
123,16,"Kalo, Peter"
124,16,"Balk, Janneke"
125,17,"Eslahati, Mohammad"
126,17,"Mehrabianfar, Parviz"
127,17,"Isari, Ali Akbar"
128,17,"Bahraminejad, Hossein"
129,17,"Manshad, Abbas Khaksar"
130,17,"Keshavarz, Alireza"
131,18,"Jaudal, Mauren"
132,18,"Wen, Jiangqi"
133,18,"Mysore, Kirankumar S."
134,18,"Putterill, Joanna"
135,19,"Fan, Yinglun"
136,19,"Wang, Xiuyuan"
137,19,"Li, Haiyun"
138,19,"Liu, Shuang"
139,19,"Jin, Liangshen"
140,19,"Lyu, Yanyan"
141,19,"Shi, Mengdi"
142,19,"Liu, Sirui"
143,19,"Yang, Xinyue"
144,19,"Lyu, Shanhua"
145,20,"Kron, Cindy R."
146,20,"Sisterson, Mark S."
147,21,"Ma, Xiang Li"
148,21,"Ren, Jian"
149,21,"Dai, Wei Ran"
150,21,"Yang, Wei"
151,21,"Bi, Yu Fen"
152,22,"Niu, Yining"
153,22,"Luo, Zhuzhu"
154,22,"Cai, Liqun"
155,22,"Coulter, Jeffrey A."
156,22,"Zhang, Yaoquan"
157,22,"Berti, Marisol"
158,23,"Bouray, Moussa"
159,23,"Moir, Jim"
160,23,"Condron, Leo"
161,23,"Lehto, Niklas"
162,24,"Guo, Shiqi"
163,24,"Zhang, Xiaojia"
164,24,"Bai, Quanzi"
165,24,"Zhao, Weiyue"
166,24,"Fang, Yuegenwang"
167,24,"Zhou, Shaoli"
168,24,"Zhao, Baolin"
169,24,"He, Liangliang"
170,24,"Chen, Jianghua"
171,25,"Zhang, Lijun"
172,25,"Kamphuis, Lars G."
173,25,"Guo, Yanqiong"
174,25,"Jacques, Silke"
175,25,"Singh, Karam B."
176,25,"Gao, Ling-Ling"
177,26,"Lin, Sen"
178,26,"Medina, Cesar Augusto"
179,26,"Boge, Bill"
180,26,"Hu, Jinguo"
