,paper_id,financial_name,financial_code,type
0,0,Project of Research and Demonstration on the Key Technology of Feeding Straw and Sideline Products,2019C10010,
1,0,"Cultivation, Processing and Utilization of Forage in High Temperature and Humidity Area",2017YFD0502106,
2,1,Ministry of Science and Technology of the Republic of Serbia,"TR 31025, 451-03-68/2020-14/200032",
3,3,Key Research and Development Program of Shandong,2017CXGC0309,
4,3,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,U1432126,
5,3,Shandong Agricultural Elite Variety Project,2019LZGC010,
6,3,Major Basic Research Project of Shandong Natural Science Foundation,ZR2018ZC0335,
7,3,Taishan Scholar Program of Shandong,,
8,4,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"41571314, 41671406",
9,4,"CAS ""Light ofWest China"" Program",XAB2016A03,
10,4,Education Department Foundation of Zhejiang Province,Y201738652,
11,5,National Key Research and Development Program of China,2016YFD0800204,
12,5,Natural Science Foundation of Jiangsu ProvinceJiangsu Planned Projects for Postdoctoral Research FundsNatural Science Foundation of Jiangsu Province,BK20161616,
13,5,"""135"" Plan and Frontiers Program of Chinese Academy of Sciences",ISSASlP1615,
14,6,Changjiang Scholars and Innovative Research Team in UniversityProgram for Changjiang Scholars & Innovative Research Team in University (PCSIRT),IRT17R50,
15,6,National Key Research and Development Plan,2016YFC0400302,
16,7,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,51767020,
17,7,Natural Science Foundation of Inner Mongolia Autonomous Region,2019MS06025,
18,7,Scientific Research Project of Inner Mongolia University of Technology,X201417,
19,8,JAXA,,
20,9,Sultan Qaboos University,IG/AGR/CROP/19/02,
21,9,"Ministry of Agriculture and Fisheries, Oman",,
22,11,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"U1702234, 31471171, XDB27030106",
23,11,One Hundred Talent Project of the Chinese Academy of SciencesChinese Academy of Sciences,,
24,11,High-end Scientific and Technological Talents in Yunnan Province,"2015HA031, 2015HA032",
25,11,"Core Botanical Gardens, Chinese Academy of Sciences (CAS-CBG)",,
26,12,Natural Science Foundation of Chongqing cityNatural Science Foundation of Chongqing,csct2019jcyj-msxmX0066,
27,12,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31971765,
28,12,China Postdoctoral Science FoundationChina Postdoctoral Science Foundation,2019M651865,
29,13,INTA,,
30,15,INRAE,,
31,15,Comite Mixte Franco-Tunisien pour la Cooperation Universitaire (PHC Utique),17G0904,
32,16,Biotechnology and Biological Sciences Research Council (BBSRC) Institute Strategic GrantsBiotechnology and Biological Sciences Research Council (BBSRC),"BB/J004553/1, BB/P012574/1",
33,16,Gatsby Charitable Foundation,,
34,16,Hungarian National Research FundOrszagos Tudomanyos Kutatasi Alapprogramok (OTKA),,
35,16,"National Research, Development and Innovation Office","OTKA 67576, 119652, 129547",
36,16,Hungarian Ministry for National Economy,GINOP-2.3.2-15-2016-00001,
37,18,New Zealand Marsden FundRoyal Society of New ZealandMarsden Fund (NZ),14-UOA-125,
38,18,"National Science Foundation, USANational Science Foundation (NSF)","DBI 0703285, IOS-1127155",
